Theme,Frequency_in_Literature,Strength_of_Evidence,Applies_to_SSS,Notes
Teacher Preparedness (general),18,Strong,Yes,Consistent finding across all levels and regions
In-service Training Quality,15,Strong,Yes,Training described as inadequate across most studies
Pedagogical Content Knowledge (PCK),12,Moderate-Strong,Yes,Gap between content knowledge and pedagogy widely noted
Teacher Self-Efficacy,8,Moderate,Yes,Studied indirectly; direct SSS study needed
Resource & Infrastructure Gaps,14,Strong,Partial,More severe in marginalized counties
Stakeholder Attitudes,7,Moderate,Yes,77% JSS schools cite attitude as barrier
Workload & Assessment Burden,9,Moderate,Yes,Assessment records overwhelming teachers
Regional Disparity (Urban vs Rural),11,Strong,Yes,Garissa and arid regions most affected
Head Teacher Leadership,6,Moderate,Yes,Only 20% of heads felt capable of mentoring in CBC
Pathway-Specific Readiness,2,Weak (gap),Yes,Virtually unstudied — your contribution here
Senior School (Grade 10-12),1,Very Weak (gap),Yes,Only Mogere & Mbatanu 2025 touches SSS; no empirical study exists
Digital/ICT Integration,7,Moderate,Partial,More relevant to STEM pathway
Policy-Classroom Disconnect,10,Moderate-Strong,Yes,Policies exist but implementation support is weak
Professional Development (ongoing),9,Moderate,Yes,One-off workshops dominate; sustained PD lacking
