ID,Author(s),Year,Title,Journal,Level_Focus,Methodology,Key_Finding,Theme_1,Theme_2,Theme_3,Region,Relevance_to_SSS
1,Mwang'ombe A.M.,2021,CBC in Kenya: Teachers Understanding and Skills,ResearchGate,Primary,Review,Only 3% of educators feel adequately prepared for CBC,Teacher Preparedness,Training Gaps,,National,High
2,"Mohamed Ondigi & Mueni",2022,Teachers Pedagogical Preparedness for CBC in Secondary Schools,IOSR-JRME 12(01),Secondary,Survey,Majority had not attended in-service training,Pedagogical Knowledge,In-service Training,,Kirinyaga,High
3,Ngeno B.,2023,Teacher Training and Implementation of CBC in Primary Schools,EAJES 6(1) 280-290,Primary,Mixed Methods,Stakeholders raising concerns on preparedness adequacy,Teacher Training,Stakeholder Concerns,,Kericho,Medium
4,Muchira et al.,2023,CBC in Kenya: Challenges and Lessons from USA and South Korea,Journal of Education and Learning 12(3),Primary,Scoping Review,Limited Kenya evidence on CBC impact on competencies,Comparative Analysis,Training Gaps,Policy Gaps,National,High
5,Wasanga & Wambua,2022,Challenges of CBC: Teacher Capacity and Resource Constraints,IJER 10(5) 113-128,Primary,Mixed Methods,Teacher capacity identified as primary implementation barrier,Teacher Capacity,Resource Constraints,,National,High
6,Mogere & Mbatanu,2025,Teacher Requirements for CBC in Senior Schools Vihiga County,AJER,Senior School,Quantitative,Teacher shortages projected for senior school pathways,Teacher Supply,Pathway Gaps,,Vihiga,Very High
7,Mackatiani et al.,2023,Implementation of CBC in Junior Secondary Schools in Kenya,APJEMR 8(2) 35-48,JSS,Mixed Methods,JSS challenges provide baseline for SSS,JSS Implementation,Teacher Readiness,,National,High
8,KNUT,2022,CBC Training Effectiveness Report,KNUT Report,Primary/JSS,Institutional Report,Training sessions poorly conducted; facilitators not fully competent,Training Quality,Facilitator Competence,,National,High
9,Cheruiyot B.,2024,Challenges in Implementation of CBC in Junior Schools,EAJES 7(3) 260-266,JSS,Qualitative,Inadequate teacher training as critical barrier,Teacher Training,Digital Infrastructure,,National,High
10,"Kailo Njagi Kalai Mutegi",2025,Training Approaches in In-Service Teacher Training on CBC,IJCSRR 8(2),Primary,Mixed Methods,In-service training as bridge between policy and classroom,Training Modalities,In-service Training,PCK,Kilifi,High
11,"Isaboke Wambiri & Mweru",2021,Teacher Preparedness and CBC in Pre-Primary Schools Nairobi,IJCA 5(3),Pre-Primary,Mixed Methods,Teacher preparedness directly linked to implementation quality,Teacher Preparedness,Implementation Quality,,Nairobi,Medium
12,Keter & Wabuke,2025,Teacher Preparedness and Implementation of CBC in JSS Bomet County,IJSSEI,JSS,Mixed Methods,Deficiencies in pedagogical knowledge and professional development,Pedagogical Knowledge,Professional Development,Implementation,Bomet,High
13,Garissa Study,2025,Public Primary Teacher Preparedness on CBC in Garissa County,IJRISS Vol IX XI,Primary,Desktop Review,Marginalized regions face severe training and infrastructure gaps,Marginalization,Training Access,Infrastructure,Garissa,High
14,IJRISS Study,2025,Challenges in Implementation of CBC in JSS Kenya,IJRISS Vol IX I,JSS,Mixed Methods,77% of JSS agreed stakeholder attitudes pose challenge,Stakeholder Attitudes,Teacher Readiness,,National,High
15,Momanyi & Rop,2019,Teacher Preparedness for CBC: Early Grade Primary Teachers Bomet East,Cradle of Knowledge 7(1),Primary,Survey,Teachers not adequately ready to handle CBC,Teacher Readiness,Classroom Practice,,Bomet,Medium
16,"Maluha Mackatiani & Gakunga",2024,Teacher Pedagogical Practices on CBC Implementation Vihiga County,Cradle of Knowledge 12(4),Primary,Mixed Methods,Pedagogical practices directly influence implementation quality,Pedagogical Practice,Implementation,PCK,Vihiga,High
17,Njiru & Odundo,2024,ECDE Teacher Preparedness and Professional Development for CBC,IAJSSE 2(3) 327-344,ECDE,Mixed Methods,Professional development gaps persist across all levels,Professional Development,Training Gaps,,National,Medium
18,Darling-Hammond et al.,2019,Science of Learning and Development,Applied Dev Science 24(2),Theory,Review,Learning science principles for teacher practice,Teacher Practice,Learning Science,,International,Medium
19,Shulman L.S.,1986,Those Who Understand: Knowledge Growth in Teaching,Educational Researcher 15(2),Theory,Conceptual,PCK as foundation of teacher competence,PCK,Content Knowledge,,International,High
20,Bandura A.,1997,Self-Efficacy: The Exercise of Control,W.H. Freeman,Theory,Conceptual,Self-efficacy as predictor of behavior and performance,Self-Efficacy,Teacher Confidence,,International,High
21,Fullan M.,2007,The New Meaning of Educational Change,Teachers College Press,Theory,Conceptual,Change management framework for curriculum reform,Change Management,Implementation,Policy,International,High
22,Presidential Working Party,2023,Report on Education Reform (PWPER),Government of Kenya,Policy,Policy Report,Teacher preparedness flagged as urgent concern,Policy Reform,Teacher Preparedness,,National,High
